date,text,club_name,sentiment
2019-03-14 08:50:47+00:00,RT @LFC: ⚽️ + ⚽️⚽️ https://t.co/whEIkBOQY8,LFC,NEGATIVE
2019-04-01 23:55:04+00:00,"👑 Pensando em quantos gols vai marcar na temporada? 🤔
🔵🔴 #ForçaBarça https://t.co/J2d0JiR4JP",fcbarcelona_br,NEGATIVE
2018-12-15 22:30:00+00:00,🙌 Find someone who looks at you the way @Lucasvazquez91 looks at @Benzema...  #HalaMadrid https://t.co/mX44ZbRafB,realmadriden,NEGATIVE
2018-05-06 17:00:40+00:00,"#Under10 a Bardolino: 
Juve-Lugano 7-0
Juve-Brommapojkarna (SVE) 1-0
Juve-Milan 0-1
Juve-Ujpest 0-1
Juve-Manchester united 2-3
Juve-Atletico Madrid 0-1
Juve-Voluntas Brescia (2007) 1-1
Juve-Chelsea 2-0
10°Classificati
Stefano Precupanu premiato come più giovane del torneo https://t.co/dLEYcI9AjA",JuventusFCYouth,NEGATIVE
2019-07-01 15:37:43+00:00,"🗣️ @LucasHernandez: ""تمثيل هذا النادي والمشاركة بقميصه في جميع المسابقات يشعرني بالفخر، أواصل التدريبات يوميًا وآمل أن أكون جاهزًا بنسبة 100% مع بداية الموسم الجديد"" 🔴⚪️

#البايرن #ميا_سان_ميا

https://t.co/TlaVLJEpU6",FCBayernAr,NEGATIVE
2019-03-01 16:58:51+00:00,"💭Barça efsanesi @andresiniesta8'dan açıklamalar: 

""Dembele, maçın kaderini değiştirebilen, çok özel bir futbolcu. Zekasıyla Barça'ya katkı sağlıyor. Bu sezon düzenli de gol atıyor.""

""Arthur yerimi doldurabilir. Ama oyun tarzını tamamen oturtması için hala zamana ihtiyacı var."" https://t.co/lCBaWGNPTC",fcbarcelona_tr,NEGATIVE
2019-05-24 23:00:00+00:00,Van Dijk e Mané foram indicados ao Prêmio Jogador da Temporada PFA por torcedores. Para votar. 👉https://t.co/MPvYCaobxc https://t.co/Sphk92x31G,LFCBrasil,NEGATIVE
2019-03-12 13:53:21+00:00,"""@R13_official has played very well in the last two matches, both offensively and defensively. Switching from left to right won't be a problem for him - right back is his position."" 

#FCBLFC #MiaSanMia https://t.co/Dk55laPBcX",FCBayernEN,POSITIVE
2019-02-24 00:50:50+00:00,RT @JamesMilner: 👊🏻 #YNWA https://t.co/IcVJkf8T8q,ThaiLFC,NEGATIVE
2018-08-20 10:04:49+00:00,"⚽️⚽️⚽️⚽️⚽️

🤯 ما رأيكم في هدف نجمنا السابق إيفان دي لا بينيا 🤯 

https://t.co/LFCwzgBXcD",fcbarcelona_ara,NEGATIVE
2019-01-27 14:01:36+00:00,"Barça XI
⚽ #GironaBarça
🔵🔴 #ForçaBarça https://t.co/Dy1B3vVFCV",FCBarcelona,NEGATIVE
2019-01-12 20:51:55+00:00,"46’ Babak kedua dimulai! ⚪️⚫️

#BolognaJuve [0-1] #CoppaItalia #ForzaJuve",juventusfcid,NEGATIVE
2019-06-29 16:35:22+00:00,"RT @TelemundoSports: ¡Ya comienza! en 4tos. de Final de #WWCTelemundo 
⚽ Alemania vs. Suecia 
📺 @Telemundo 
📱https://t.co/d9fJmUxSJ9 https:…",FCBayernUS,NEGATIVE
2019-04-14 12:44:24+00:00,"Ein 👀 in die Kabine! 🙌 

#F95FCB #MiaSanMia https://t.co/khnqZsB6cV",FCBayern,NEGATIVE
2019-05-28 12:18:56+00:00,RT @SergeGnabry: DFB Pokal 🏆 https://t.co/pFGr0PwYdP,FCBayernEN,NEGATIVE
2018-12-29 02:25:03+00:00,"🎥2018年最も愉快な場面😊😁😂
https://t.co/gPaBxpjUTS
#ForçaBarça",fcbarcelona_jp,NEGATIVE
2019-04-09 09:08:29+00:00,"🛫 Manchester
👔  @ThomBrowneNY 👌
🔜 #MUFCBarça
🔵🔴 #ForçaBarça https://t.co/w4KpyYIqdb",FCBarcelona,NEGATIVE
2019-06-26 14:30:00+00:00,"🇺🇸🔙🏆 We're heading back to the USA this summer! Check out the cities we'll be visiting, our opponents and the kick-off times!
🆚 @FCBayern 
🆚 @Arsenal 
🆚 @Atleti 
#RMTour | #ICC2019 https://t.co/ZQVst7X4xJ",realmadriden,POSITIVE
2017-12-08 22:28:24+00:00,"📷📷📷 #JuveFiorentina 2-0: GALLERY ➡️ https://t.co/C60isCCKfh

#JuventusWomen 🏳️🏴 https://t.co/87tf0gJuGB",JuventusFCWomen,NEGATIVE
2019-01-02 10:59:59+00:00,Les 1⃣0⃣  travaux de #Messi pour 2019. Combien de records battra-t-il ? #ForçaBarça 👑 https://t.co/XVFJk2AY14,fcbarcelona_fra,NEGATIVE
2019-04-27 15:45:00+00:00,"RT @JuventusTV: Vi aspettiamo live 🔴 alle ⏲️ 19.30 con il pre partita di #InterJuve 🏟️

Per seguire la diretta 👉 https://t.co/hPU75XvFLS 👈…",juventusfc,NEGATIVE
2018-10-31 22:28:03+00:00,"🙌ما تقییمك لأداء #برشلونة هذه اللیلة؟🙌

⚽ Cultural Leonesa 🆚 Barça 
🔵🔴 #CopaBarça 🏆 https://t.co/6n7oHnlISp",fcbarcelona_ara,NEGATIVE
2019-04-13 12:05:06+00:00,"🇬🇧📝 Here's the #JuventusWomen squad list for the Bianconere's match against @UPCTavagnacco ➡️ https://t.co/KaYe2khfRX 

🇮🇹📝 #JuveTavagnacco | Le convocate di @ritaguari ➡️ https://t.co/B2sXJur31S https://t.co/ci9hDEge88",JuventusFCWomen,NEGATIVE
2019-04-16 20:06:47+00:00,"46' Another big 45' at the Allianz ahead, come on boys we can do this! 💪

#JuveAjax [1-1] #UCL #ForzaJuve https://t.co/Rf1BzGLAr1",juventusfcen,NEGATIVE
2019-01-19 13:27:42+00:00,"68' | Doppio cambio per la Juve: 

⬅️ Moreno, Portanova
➡️ Monzialo, Francofonte 

#NapoliJuve [0-1]
#Primavera
#ForzaJuve",JuventusFCYouth,NEGATIVE
2019-07-05 19:30:22+00:00,"🔝 Tarda blaugrana i frenètica per a @DeJongFrenkie21 

👉 https://t.co/O5f0H6Aaof 👈

🔵🔴 #ForçaBarça https://t.co/iw5wxvvBdq",FCBarcelona_cat,NEGATIVE
2019-02-01 17:18:54+00:00,"[🎥 EN DIRECTO] Sigue el primer entrenamiento de @jctodibo como azulgrana, previo al #BarçaValencia 👉 https://t.co/cj8Vay2cnJ 🔵🔴 #ForçaBarça https://t.co/8rvUS5SzNv",FCBarcelona_es,NEGATIVE
2019-05-19 08:46:17+00:00,"📝 @RealMadrid XI vs @RealBetis_en!
#RMLiga | #HalaMadrid https://t.co/4d6DcpEhdC",realmadriden,NEGATIVE
2019-06-01 17:00:38+00:00,"In two hours, we go for six 💪

#UCLfinal https://t.co/eZDVFcA21S",LFCUSA,NEGATIVE
2018-11-27 19:56:00+00:00,"FC BAYERN, FOREVER NUMBER ONE! #FCBSLB #UCL #packmas https://t.co/eMd133gFqR",FCBayern_FB,POSITIVE
2019-05-01 20:58:32+00:00,"THERE'S THE WHISTLE! 
WHAT A NIGHT!
#WeColorFootball! https://t.co/J8aMZF7JBh",FCBarcelona,NEGATIVE
2019-06-22 19:46:27+00:00,"Do jeito que ele gosta! 😍

#LFCBrasil 🇧🇷 #CopaAmerica https://t.co/F3ZbNZn1Ph",LFCBrasil,NEGATIVE
2019-03-22 19:30:00+00:00,"⚽💥🎯 #RMCity
Shooting practice!
🇫🇷 @Benzema
🇪🇸 @nachofi1990
🇩🇴 @marianodiaz7
🇧🇷 @MarceloM12
🇪🇸 @alvaroodriozola
🇪🇸 @isco_alarcon https://t.co/LDz1cv4cHV",realmadriden,NEGATIVE
2019-04-12 12:16:00+00:00,"🔙 #HuescaBarça
🚀 ロケティッチのスーパーゴール！
😎 @ivanrakitic https://t.co/rBCV0bLjAW",fcbarcelona_jp,NEGATIVE
2019-03-07 18:22:03+00:00,"En 1975, fruto de la nostalgia, volvía a casa. Primero a Mallorca y después a Moià. Todo había cambiado desde que ‘la Sagi’ se exilió más de tres décadas antes. Ya nadie la recordaba. Su obra había sido olvidada. Su reconocimiento había pasado a la historia.

O eso parecía.",FCBarcelona_es,NEGATIVE
2019-04-23 22:50:04+00:00,"🗒 Las combinaciones que pueden dejar al Barça campeón de @LaLiga esta semana 🔵🔴 #ForçaBarça
https://t.co/UItCpSDNn9",FCBarcelona_es,NEGATIVE
2019-02-17 11:52:20+00:00,"⏸ 前半終了: レアル・マドリード 1–0 ジローナ
⚽ 25分 カゼミーロ
#RMLiga | #HalaMadrid https://t.co/xlimRYdZLb",realmadridjapan,NEGATIVE
2019-03-12 17:05:53+00:00,"Thomas scores. 

#AjaxU19: ❌✅✅✅
Lyon: ✅❌❌✅✅

#UYL #lyoaja",AFCAjax_EN,NEGATIVE
2019-01-03 14:57:19+00:00,"RT @realmadriden: ⚽ @GarethBale11’s first @RealMadrid goal!
🆚 @VillarrealCF
🗓 14/09/13
#HalaMadrid https://t.co/OV3P6HrMbQ",realmadriden,NEGATIVE
2019-06-11 08:30:19+00:00,"🔁 Resumen de la jornada internacional:

El capitán @lewy_official marcó en la victoria de Polonia sobre Israel. 

Austria ganó en Macedonia del Norte sin @David_Alaba.

#POLISR #MKDAUT #FCBayern 

https://t.co/fuCOFEFnBJ",FCBayernES,NEGATIVE
2018-11-04 17:32:27+00:00,"🤝 [وجهاً لوجه]
🇧🇷 @miranda023 v @Phil_Coutinho
🔜️ #InterBarça
👋 @Inter_ar
🎬 Full video: https://t.co/TaWM8pP65a https://t.co/tcNYeec66R",fcbarcelona_ara,NEGATIVE
2018-11-23 22:23:49+00:00,"👌علی أتم الاستعداد🙌

🔜#AtletiBarça https://t.co/lUXE4HeCMZ",fcbarcelona_ara,NEGATIVE
2019-06-05 09:00:44+00:00,Buon compleanno a  @Mat_DelFavero56  🎂 https://t.co/OxUV3g6qc1,juventusfc,NEGATIVE
2019-06-15 22:30:00+00:00,"You won't want to miss the @TMobile showdown, so be sure to get your tickets today! 🇺🇸 

@IntChampionsCup",FCBayernUS,POSITIVE
2019-07-12 18:17:14+00:00,"🇧🇪💬 With our first training session of the day complete, @hazardeden10 give us an update on our pre-season so far! #HalaMadrid https://t.co/3gr1ujrK38",realmadriden,NEGATIVE
2018-07-01 11:00:02+00:00,🇪🇸👊#ワールドカップ 決勝Tに駒を進めた #スペイン代表！そのチームに加わっているレアル・マドリード下部組織出身の #ナチョ！ #ロシアW杯 #ESP https://t.co/wS7qv4wLrl,realmadridjapan,NEGATIVE
2019-05-28 17:27:39+00:00,"RT @FCBfemeni: 🔝🌍 El Barça, l’equip amb més mundialistes ▶ https://t.co/F4HJCdDMVK / El Barça, el equipo con más mundialistas ▶ https://t.c…",FCBarcelona_es,NEGATIVE
2019-02-03 21:07:59+00:00,"77' First change for the Rossoneri / Primo cambio per il Diavolo
#RomaMilan 1-1 https://t.co/r556zEwiHe",acmilan,NEGATIVE
2019-05-18 14:53:30+00:00,"""Choose a job you love, and you will never have to work a day in your life.""

❤️ @FranckRibery ❤️ https://t.co/2kc5RYfEdz",FCBayernUS,POSITIVE
2019-02-21 15:30:59+00:00,"بعد عرضه أمام ليفربول في أنفيلد، ألكنتارا أحد المرشحين لأفضل لاعب في الأسبوع✨
🗳 صوتوا لـ @Thiago6 من هنا!👇 
https://t.co/msIEUe9oO3 https://t.co/24zxi9Re5y",FCBayernAr,NEGATIVE
2018-09-29 19:32:30+00:00,"⏸ 前半終了: #レアル・マドリード 0-0 #アトレティコ・マドリード
#RMDerbi | #HalaMadrid https://t.co/XPI4BOfO3H",realmadridjapan,NEGATIVE
2019-02-23 15:58:14+00:00,"⚽ Min 42. Gol del Sevilla. Gol de Mercado (2-1)
🔵🔴 #SevillaBarça",FCBarcelona_es,NEGATIVE
2019-05-10 13:17:07+00:00,"La final també va tenir més noms propis. Són els del defensa Migueli, que va haver de jugar amb una luxació a l’espatlla, o del davanter Krankl, que va disputar el partit pocs dies després que la seva dona tingués un greu accident de trànsit. S’havia de guanyar com fos...",FCBarcelona_cat,NEGATIVE
2019-01-10 13:20:11+00:00,"😀  @JasperCillessen, siap untuk laga nanti! ✋⚽️🤚

#CopaBarça https://t.co/UKTqs5EBTX",fcbarcelona_id,NEGATIVE
2019-03-02 20:25:21+00:00,Minut 39: Uiii @LuisSuarez9! Gran xut de l'uruguaià que refusa Courtois! A punt el Barça de marcar el segon (0-1) #ElClásico https://t.co/CRjClFr5Wi,FCBarcelona_cat,NEGATIVE
2019-07-06 12:11:27+00:00,😄 https://t.co/xc2dF2PBeM,ThaiLFC,NEGATIVE
2018-08-11 20:50:50+00:00,"RT @realmadriden: 🏁 FT: @RealMadrid 3-1 @acmilan (@Benzema 2', @GarethBale11 45'+1', @Mayoral_Borja 90'+1'; Higuaín 4').
#Emirates | #HalaM…",realmadridfra,NEGATIVE
2018-12-31 23:02:14+00:00,🎉🎊 Le défi de @LuisSuarez9 pour 2⃣0⃣1⃣9⃣ ? Marquer plus de buts que son ami #Messi ! Et le vôtre ? Bonne année et meilleurs voeux à tous les supporteurs du Barça !!! Merci d'être là ! #ForçaBarça ❤💙 https://t.co/qtezCXYaID,fcbarcelona_fra,NEGATIVE
2019-02-15 15:13:59+00:00,"RT @Bundesliga_EN: Three goals in two games sees Goretzka land the #BundesligaPOTM award for January 👏

Congratulations, @leongoretzka_ 🏆…",FCBayernEN,POSITIVE
2018-05-20 13:06:52+00:00,"Torneo Internazionale a Leverkusen 🏆🇩🇪
Finale 5°/6° posto: Milan 🆚 Sporto Portugal 3-0 ✅
Pulcini 2009 🔴⚫ 5⃣° classificati su 132 squadre ⚽
Bravi! 👍",acmilanyouth,NEGATIVE
2019-05-10 13:27:48+00:00,"There's still a lot to fight for. 🔥

#ajautr https://t.co/uNPjUwZVV3",AFCAjax,NEGATIVE
2019-03-13 18:12:40+00:00,"RT @JuventusTV: Buon compleanno, @esdavids 😎

Una clip dedicata al grande centrocampista olandese 🇳🇱

On demand, qui ➡️ https://t.co/Nbt94f…",juventusfc,NEGATIVE
2019-06-01 18:15:01+00:00,"Atmosphere is building inside Estadio Metropolitano. 🔴🔴

#UCLfinal https://t.co/h0sFbzypFo",LFC,POSITIVE
2019-02-17 21:09:21+00:00,"RT @jmbartomeu: Campions de Copa a Madrid! Partidàs i gran victòria del @fcbbasket, que suma la segona Copa del Rei consecutiva, contra el…",FCBarcelona_cat,NEGATIVE
2019-04-05 17:21:36+00:00,"Se siete fra le oltre 10000 persone che hanno visitato la mostra #GulpGoalCiak allo #JuventusMuseum saprete che sono esposti 4 disegni originali di Guillermo #Mordillo, oltre a 3 copie autenticate. Oggi ha visitato l'esposizione, insieme al Presidente del Museum Paolo Garimberti! https://t.co/SxKqDtFNt3",juventusfc,NEGATIVE
2019-05-27 14:24:38+00:00,"Thank you to all of the Bianconeri around the 🌍 for your #W8NDERFUL support ❤⚪⚫

📲 https://t.co/boEMdxJJWy https://t.co/ywY3uBNk7f",juventusfcen,POSITIVE
2019-05-17 22:10:40+00:00,@FCBfemeni Good luck @FCBfemeni! 🤝,FCBfrauen,POSITIVE
2018-10-22 00:00:23+00:00,"Critchley ikut terpesona tendangan bebas Wilson
https://t.co/iQT3me1jpq #LFC #LFCIndonesia https://t.co/wCivTL7UUc",LFCIndonesia,NEGATIVE
2018-09-23 18:33:28+00:00,👑 Leo #Messi 👑 https://t.co/eZdkzc0cCO,fcbarcelona_id,NEGATIVE
2019-01-22 14:53:35+00:00,"سجل ⚽️⚽️ وساهم في حسم أول انتصارات #البايرن في الدور الثاني. 🔝

هدفا الرائع @leongoretzka_ في شباك @Frauen1899! 👊

#جولريتزكا #ميا_سان_ميا https://t.co/IeUDB5Jla7",FCBayernAr,NEGATIVE
2019-04-10 18:51:21+00:00,"RT @juventusfcen: Game face 🔛 👏

#GETREADY #AjaxJuve #UCL https://t.co/Q1FfypGggE",juventusfc,NEGATIVE
2019-04-21 14:39:00+00:00,El Bernabéu guardó un minuto de silencio por las víctimas de los atentados en Sri Lanka y en memoria de Agustín Herrerín. https://t.co/GqiB0DbIWv,realmadrid,NEGATIVE
2019-03-17 15:56:30+00:00,"تشكيل #البايرن لمواجهة ماينتس 💪

#بايرن_ماينتس #باكماس https://t.co/gcvx3frPrk",FCBayernAr,NEGATIVE
2019-05-11 09:01:22+00:00,"🎉 ¡Muchas felicidades, leyenda! 🎩 
🙌 @andresiniesta8 https://t.co/0LUzGZ75Ux",FCBarcelona_es,NEGATIVE
2018-10-31 14:27:00+00:00,"📍 León
👋 Kita siap untuk laga #CopaBarça! https://t.co/1qcw6hAI0X",fcbarcelona_id,NEGATIVE
2019-05-12 11:29:30+00:00,"RT @juventusfcen: Spend your Mother's Day at the #JuventusMuseum! Entrance is free for all mums accompanying their children. 👩‍👦‍👦💐

➡️http…",juventusfcen,NEGATIVE
2019-06-29 16:00:06+00:00,"🛄✈⚽ #MovistarLikes 
Última llamada para acompañarnos en nuestro #RMTour 2019 por Houston, Washington y Nueva York. 🇺🇸 ¡No te pierdas este sueño hecho realidad! 💭

👉 https://t.co/HyqiFL5HdC 

@movistarlikes | @movistar_es https://t.co/UHgz583yuV",realmadrid,NEGATIVE
2019-02-26 08:25:52+00:00,"🗓️ #في_مثل_هذا_اليوم من عام 2006..

تمريرة سحرية من جيرارد! 🎶
إنهاء رائع للهجمة من @HarryKewell! 🚀
الفوز 1-0 على @Cityarabia.👌

https://t.co/dKmahi6Vg1",LFC_Arabic,NEGATIVE
2018-06-21 19:59:30+00:00,"RT @realmadrid: 🇦🇷 0-3 🇭🇷
⚽ @lukamodric10 
#HalaMadrid https://t.co/0fIvN2nZms",realmadridarab,NEGATIVE
2019-02-17 14:45:02+00:00,"📸 カゼミーロが見事なヘディングで先制点を決めるも、後半ジローナが逆転… #RMLiga 
https://t.co/c9BB5sYkGn",realmadridjapan,NEGATIVE
2018-10-20 18:25:14+00:00,"Full time. Bukan penampilan yang brilian, tetapi 3 poin penting dari kandang Huddersfield.

https://t.co/0AJi3yfChQ #LFC #LFCIndonesia https://t.co/m2UGKqSzFA",LFCIndonesia,NEGATIVE
2019-07-14 20:15:06+00:00,"🔵🔴 Així ha estat la presentació d'@AntoGriezmann 🎥👇
https://t.co/71nNqP4MSz",FCBarcelona_cat,NEGATIVE
2019-01-03 11:45:00+00:00,"لحظة وصول الفريق الى مدينة كاستيون! 🛬✍
#هلا_مدريد | #RMLiga https://t.co/jH4NlDUXD0",realmadridarab,NEGATIVE
2019-05-04 09:33:20+00:00,"⏱️ 32' 
Plizzari vola a deviare in corner il sinistro a giro di Montaperto
#MilanPrimavera
#MilanEmpoli 0-1",acmilanyouth,NEGATIVE
2019-03-02 19:45:02+00:00,"📍 Santiago Bernabéu
⏰ ¡Comienza el partido!
Real Madrid 0-0 FC Barcelona
🔵🔴 ¡Vamos, Barça!
📲 Sigue el partido en directo 👉 https://t.co/fcDnlImAM6 
⚽ #ElClásico https://t.co/H5uTwHBo9Q",FCBarcelona_es,NEGATIVE
2019-01-27 23:15:04+00:00,"✅ 2016/17 3 試合
✅ 2017/18 19試合
✅ 2018/19 10 試合
🔝 32 試合連続で、カンプノウから離れた場所でゴールをマーク！
🔵🔴 #GironaBarça #ForçaBarça
https://t.co/g9IHkbqeO1",fcbarcelona_jp,NEGATIVE
2018-12-13 11:59:00+00:00,"#OnThisDay 🗓
Oliver Bierhoff's accurate pass finds @GeorgeWeahOff who scores the winner 👏🏻
Assist al bacio di Bierhoff per il tocco ravvicinato da tre punti del Re Leone 👏🏻 https://t.co/PN2xCtUE6l",acmilan,POSITIVE
2019-03-09 21:14:49+00:00,"84' Third and last change for the Rossoneri / Terzo e ultimo cambio per i rossoneri
#ChievoMilan 1-2 https://t.co/cN5BnlfpXK",acmilan,NEGATIVE
2019-02-04 03:45:43+00:00,#FCBAmateure Captain's Diary - Super Bowl Sunday auf Texanisch: https://t.co/vRy8TXfY8q #BayernAmateure #MiaSanMia https://t.co/4ZuA8YZWs2,FCBjuniorteam,NEGATIVE
2019-05-07 20:22:01+00:00,@11thStBar @LFCNY EVERYONE IS ON THEIR FEET @LFCNY https://t.co/Z001KTheo7,LFCUSA,POSITIVE
2019-05-28 15:07:41+00:00,📍รอยยิ้มนี้ที่เมลวู้ด #LFCThai https://t.co/olIZf9Tp3t,ThaiLFC,NEGATIVE
2019-04-01 10:57:51+00:00,"🎙 Allegri: “@emrecan_ is adalah contoh untuk antusiasme dan hasratnya. Setelah masalah yang dimilikinya di awal musim dia mengalami banyak peningkatan dan juga dapat bermain di pertahanan.”

#CagliariJuve #ForzaJuve",juventusfcid,NEGATIVE
2018-11-22 22:15:00+00:00,💪 Entrena duro. #RMCity https://t.co/pFTz3guNlj,realmadrid,NEGATIVE
2019-05-18 14:20:00+00:00,@SheaVedIce LFG! https://t.co/tWgMXLkZBU,FCBayernUS,NEGATIVE
2017-11-07 14:56:44+00:00,"RT @juventusfc: Ottobre è in archivio: le foto più belle del mese di bianconeri e bianconere in allenamento! 🏃‍♀️⚽🏃📸

GALLERY: https://t.co…",JuventusFCWomen,NEGATIVE
2018-10-10 13:33:06+00:00,"公式声明
#RealMadrid 

https://t.co/vrysZgEVTe",realmadridjapan,NEGATIVE
2018-11-02 19:04:47+00:00,"⏱️ 46'
Comincia la ripresa. Dai #MilanPrimavera, serve una reazione!
#MilanChievo 0-2",acmilanyouth,NEGATIVE
2019-06-05 15:01:36+00:00,"📸 The best of the Bianconeri in ⚫️ and ⚪️

https://t.co/mj6iVe5GdD

#W8NDERFUL https://t.co/JRVQZFW0nX",juventusfcen,POSITIVE
2019-04-12 13:05:07+00:00,"🔊 A partir de les 15.30 hores segueix en directe la roda de premsa d'Ernesto Valverde abans del #HuescaBarça
👉 https://t.co/TlkOdxaWSO 
🔵🔴 #ForçaBarça https://t.co/Qf0zojdMBd",FCBarcelona_cat,NEGATIVE
2019-05-01 20:41:36+00:00,Liverpool da gazabından kaçamadı. 😉 https://t.co/GzFlreg3zl,fcbarcelona_tr,NEGATIVE
2019-06-21 23:28:45+00:00,"RT @RMBaloncesto: Wait for it... 😂 
🎶 ¡FANTÁSTICO! 🎶
#CAMPEONES35 | #HalaMadrid https://t.co/D8oPzwhLcA",realmadrid,NEGATIVE
